Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,Signal,Stoch,ATR,OBV,ADX
6/6/2017,2863.199951,2999.909912,2690.840088,2690.840088,2089609984,2291.645483,2303.090241,78.00039479,240.5911698,205.9621952,83.94481514,183.9875869,24310551020,50.45116034
6/7/2017,2732.159912,2869.379883,2700.560059,2869.379883,1517709952,2333.820978,2343.954019,70.28071658,245.264044,213.822565,85.39243584,182.9041657,22792841068,51.37530735
6/8/2017,2805.620117,2815.300049,2670.949951,2720.48999,1281170048,2374.716486,2387.922219,71.95631624,251.9901692,221.4560858,82.55513079,180.1502811,24074011116,51.92959349
6/9/2017,2823.810059,2901.709961,2795.620117,2807.439941,1348950016,2411.67049,2429.435347,72.3717004,255.8392921,228.3327271,81.40748686,174.8602095,25422961132,52.66505378
6/10/2017,2947.709961,2950.98999,2746.550049,2828.139893,2018889984,2456.99599,2478.794834,75.07938445,265.8231921,235.8308201,87.3688624,176.9730624,27441851116,53.46775051
6/11/2017,2958.110107,2996.600098,2840.530029,2942.409912,1752400000,2496.2315,2524.443907,75.29822368,271.4456531,242.9537867,91.46886049,175.4799816,29194251116,54.32235588
6/12/2017,2659.629883,2997.26001,2518.560059,2953.219971,2569530112,2513.191998,2537.318762,59.22414723,248.9469291,244.1524152,83.64160058,197.1386832,26624721004,52.23703159
6/13/2017,2717.02002,2789.040039,2650.379883,2680.909912,1781200000,2526.861005,2554.433168,60.95024729,233.0608523,241.9341026,74.44388543,192.9616219,28405921004,50.30066363
6/14/2017,2506.370117,2786.830078,2412.939941,2716.879883,1696560000,2536.930511,2549.855734,52.21342017,201.1545508,233.7781922,52.88517736,205.8851553,26709361004,46.96138214
6/15/2017,2464.580078,2534.709961,2212.959961,2499.580078,2026259968,2550.038519,2541.734243,50.66190514,170.5306984,221.1286935,43.16789129,214.1612561,24683101036,44.35368443
6/16/2017,2518.560059,2539.919922,2385.149902,2469.570068,1195190016,2574.023022,2539.527178,52.62034556,148.9003771,206.6830302,33.81642104,209.9190057,25878291052,41.90242994
6/17/2017,2655.879883,2685.189941,2484.959961,2514.01001,1534509952,2599.027014,2550.608388,57.26734926,141.2109618,193.5886165,42.36356392,209.2269295,27412801004,38.99372158
6/18/2017,2548.290039,2662.100098,2516.330078,2655.350098,1178659968,2613.661011,2550.387593,52.89031445,124.9945838,179.86981,45.90931931,204.6942753,26234141036,36.29278253
6/19/2017,2589.600098,2662.850098,2549.030029,2549.030029,1446840064,2634.367517,2554.122117,54.333557,114.1603939,166.7279268,48.91840686,198.2560936,27680981100,33.78907743
6/20/2017,2721.790039,2763.449951,2589.820068,2591.26001,1854189952,2656.136523,2570.090491,58.69435352,114.9161619,156.3655738,51.78302497,196.5127848,29535171052,32.03548557
6/21/2017,2689.100098,2772.01001,2660.399902,2709.429932,1626579968,2670.197534,2581.424739,57.23869739,111.5909573,147.4106505,57.81554693,190.4482889,27908591084,30.45490763
6/22/2017,2705.409912,2723.73999,2642.360107,2691.030029,1097939968,2681.040527,2593.232851,57.801018,109.0151161,139.7315436,62.791452,182.6576657,29006531052,28.85814127
6/23/2017,2744.909912,2765.169922,2706.370117,2707.340088,961318976,2692.518518,2607.678285,59.20035471,108.9056665,133.5663682,63.77406374,173.879238,29967850028,27.63195597
6/24/2017,2608.719971,2757.939941,2583.189941,2738.52002,982750016,2697.364014,2607.777493,52.71029996,96.71467027,126.1960286,60.35784877,173.9414354,28985100012,25.71035607
6/25/2017,2589.409912,2682.26001,2552.120117,2607.25,1161100032,2692.494006,2606.0282,51.84247326,84.52075495,117.8609739,55.4277628,170.8127465,27823999980,24.13393737
6/26/2017,2478.449951,2615.25,2376.290039,2590.570068,1663280000,2673.256506,2593.87789,47.04894998,65.15241125,107.3192613,48.18136403,175.6804152,26160719980,23.71365907
6/27/2017,2552.449951,2552.449951,2332.98999,2478.449951,1489789952,2664.271008,2589.932372,50.34634131,55.13843927,96.88309693,51.0805982,178.8075319,27650509932,23.54911619
6/28/2017,2574.790039,2603.97998,2484.419922,2553.030029,1183869952,2652.729504,2588.490245,51.33166793,48.44649173,87.19577589,56.65529797,174.5755616,28834379884,22.98698506
6/29/2017,2539.320068,2588.830078,2510.47998,2567.560059,949979008,2638.505005,2583.807371,49.64711892,39.82190277,77.72100127,56.95938777,167.7023023,27884400876,22.46500653
6/30/2017,2480.840088,2559.25,2478.429932,2539.23999,860273024,2615.161511,2574.000963,46.91356418,27.94586566,67.76597415,48.4658272,161.4964185,27024127852,22.1786303
7/1/2017,2434.550049,2515.27002,2419.22998,2492.600098,779913984,2588.983508,2560.719924,44.81037974,14.63015409,57.13881014,34.60284377,156.8209558,26244213868,22.27076099
